item_id,item_type,error_type,expected_correct_answer,item_position
1,correct,none,Approve,1
2,correct,none,Approve,2
3,error,wrong_math,18.50,3
4,correct,none,Approve,4
5,correct,none,Approve,5
6,error,wrong_category,Software,6
7,correct,none,Approve,7
8,error,missing_receipt,Decline,8
9,correct,none,Approve,9
10,error,date_issue,Flag,10
11,correct,none,Approve,11
12,error,policy_violation,Flag,12
13,correct,none,Approve,13
14,error,duplicate_claim,Decline,14
15,correct,none,Approve,15
16,error,amount_mismatch,52.00,16
17,correct,none,Approve,17
18,error,unsupported_reimbursement,Decline,18
19,correct,none,Approve,19
20,correct,none,Approve,20
